route_id,route_short_name,route_long_name,route_type,agency_id
796,,ICE 1196,2,DB
797,,ICE 1695,2,DB
798,,ICE 1694,2,DB
799,,ICE 1197,2,DB
800,,ICE 1692,2,DB
801,,NJ 40470,2,ÖBB
802,,NJ 470,2,ÖBB
803,,NJ 401,2,SBB
804,,ICE 1691,2,DB
805,,ICE 1697,2,DB
806,,ICE 2589,2,DB
807,,ICE 2583,2,DB
808,,ICE 2590,2,DB
809,,IC 2590,2,DB
810,,ICE 2593,2,DB
811,,IC 2580,2,DB
812,,ICE 2594,2,DB
813,,ICE 2581,2,DB
814,,ICE 2582,2,DB
815,,ICE 1622,2,DB
816,,ICE 1022,2,DB
817,,IC 2339,2,DB
818,,IC 2338,2,DB
819,,IC 2336,2,DB
820,,IC 2334,2,DB
821,,ICE 1227,2,ÖBB
822,,ICE 1079,2,DB
823,,ICE 1091,2,DB
824,,ICE 752,2,DB
825,,ICE 392,2,DB
826,,ICE 394,2,DB
827,,ICE 671,2,DB
828,,ICE 972,2,DB
829,,ICE 1278,2,DB
830,,ICE 291,2,SBB
831,,ICE 1660,2,DB
832,,ICE 1635,2,DB
833,,ICE 293,2,DB
834,,IC 2372,2,DB
835,,ICE 1276,2,DB
836,,ICE 1293,2,SBB
837,,ICE 1274,2,DB
838,,ICE 1275,2,SBB
839,,ICE 1272,2,DB
840,,ICE 1277,2,SBB
841,,ICE 297,2,DB
842,,ICE 1273,2,SBB
843,,ICE 1295,2,SBB
844,,NJ 401,2,ÖBB
845,,ICE 13,2,DB
846,,ICE 15,2,DB
847,,ICE 211,2,DB
848,,ICE 210,2,DB
849,,ICE 14,2,DB
850,,ICE 215,2,DB
851,,ICE 19,2,DB
852,,ICE 10,2,DB
853,,IC 2222,2,DB
854,,ICE 11,2,DB
855,,ICE 18,2,DB
856,,ICE 1119,2,DB
857,,ICE 1224,2,DB
858,,IC 1980,2,DB
859,,IC 2224,2,DB
860,,IC 1987,2,DB
861,,IC 2027,2,DB
862,,IC 2229,2,DB
863,,IC 2029,2,DB
864,,ICE 520,2,DB
865,,ICE 722,2,DB
866,,ICE 632,2,DB
867,,ICE 932,2,DB
868,,ICE 616,2,DB
869,,ICE 614,2,DB
870,,ICE 612,2,DB
871,,ICE 1580,2,DB
872,,ICE 1680,2,DB
873,,ICE 511,2,DB
874,,ICE 610,2,DB
875,,IC 2261,2,DB
876,,ICE 513,2,DB
877,,ICE 518,2,DB
878,,IC 2093,2,DB
