route_id,service_id,trip_id,trip_headsign
1150,816,4822,Düsseldorf Hbf
1149,2256,4823,Stuttgart Hbf
833,2257,4824,Hannover Hbf
1154,279,4825,Singen(Hohentwiel)
1155,279,4826,Singen(Hohentwiel)
1156,2258,4827,Singen(Hohentwiel)
1157,1993,4828,Singen(Hohentwiel)
1156,2259,4829,Singen(Hohentwiel)
1158,1118,4830,Berlin Südkreuz
1159,2260,4831,Berlin Südkreuz
674,300,4832,Hamburg-Altona
1160,300,4833,Berlin Südkreuz
482,26,4834,Hamburg Hbf
1158,26,4835,Berlin Südkreuz
153,2261,4836,Düsseldorf Hbf
516,2261,4837,Köln Hbf
485,1049,4838,Köln Hbf
875,34,4839,Düsseldorf Hbf
483,40,4840,Bonn Hbf
876,38,4841,Köln Hbf
876,1169,4842,Köln Hbf
1161,2262,4843,Hamburg-Altona
991,2263,4844,Hamburg-Altona
979,25,4845,Hamburg-Harburg
991,572,4846,Hamburg-Harburg
991,2264,4847,Hamburg-Altona
1161,132,4848,Hamburg-Altona
1161,868,4849,Hamburg-Altona
979,148,4850,Hamburg-Altona
991,1334,4851,Hamburg Hbf
979,660,4852,Hamburg-Altona
692,2265,4853,Berlin Hbf (tief)
692,2266,4854,Berlin Ostbahnhof
800,2267,4855,München Hbf
778,1933,4856,Stuttgart Hbf
778,1935,4857,München Hbf
1162,1730,4858,Berlin Ostbahnhof
1163,2268,4859,Berlin Ostbahnhof
1162,1740,4860,Berlin Hbf (tief)
783,1234,4861,München Hbf
800,34,4862,München Hbf
802,34,4863,Basel SBB
783,34,4864,München Hbf
692,40,4865,Berlin Ostbahnhof
1162,1751,4866,Berlin Hbf (tief)
800,46,4867,München Hbf
778,2269,4868,München Hbf
802,46,4869,Basel SBB
692,2212,4870,Berlin Hbf (tief)
783,2270,4871,München Hbf
778,1371,4872,Stuttgart Hbf
783,55,4873,München Hbf
1162,988,4874,Berlin Ostbahnhof
692,2271,4875,Berlin Ostbahnhof
783,2272,4876,München Hbf
804,1018,4877,Basel SBB
1095,1018,4878,Berlin Ostbahnhof
783,2273,4879,München Hbf
783,2110,4880,München Hbf
783,2274,4881,München Hbf
796,1642,4882,München Hbf
1164,2275,4883,Saarbrücken Hbf
1165,2276,4884,Stuttgart Hbf
1166,274,4885,Stuttgart Hbf
1167,275,4886,Stuttgart Hbf
1168,275,4887,Stuttgart Hbf
1169,275,4888,Stuttgart Hbf
1170,275,4889,Stuttgart Hbf
1171,2277,4890,Hamburg-Altona
1172,301,4891,Nürnberg Hbf
1173,2278,4892,München Hbf
1118,2279,4893,München Hbf
986,2280,4894,Hamburg-Altona
1174,2281,4895,Hamburg-Altona
386,2282,4896,München Hbf
986,26,4897,Hamburg Hbf
988,26,4898,Hamburg Hbf
1107,26,4899,Hamburg-Harburg
1119,26,4900,München Hbf
1118,2283,4901,München Hbf
1119,2284,4902,München Hbf
1175,121,4903,Hamburg-Altona
677,2285,4904,Berlin Hbf (tief)
1175,2286,4905,Hamburg-Altona
920,2287,4906,Dortmund Hbf
1119,467,4907,München Hbf
1175,31,4908,Hamburg-Altona
986,2288,4909,Hamburg-Altona
988,2289,4910,Hamburg-Altona
994,2223,4911,Hamburg-Altona
1175,2290,4912,Hamburg-Altona
920,124,4913,Dortmund Hbf
677,125,4914,Berlin Hbf (tief)
987,124,4915,München Hbf
137,124,4916,Dortmund Hbf
1118,2291,4917,München Hbf
1119,2292,4918,München Hbf
1173,127,4919,München Hbf
1120,1743,4920,Bremen Hbf
1000,1471,4921,Hamburg-Altona
984,1743,4922,Hamburg-Altona
986,1743,4923,Hamburg-Altona
988,1743,4924,Hamburg-Altona
994,324,4925,Hamburg-Altona
31,1461,4926,München Hbf
1121,490,4927,Lübeck Hbf
920,891,4928,Dortmund Hbf
677,584,4929,Berlin Hbf (tief)
994,415,4930,Hamburg-Altona
1175,37,4931,Hamburg-Altona
920,37,4932,Dortmund Hbf
677,37,4933,Berlin Hbf
984,2293,4934,Hamburg-Altona
986,2293,4935,Hamburg-Altona
988,2293,4936,Hamburg-Altona
920,41,4937,Dortmund Hbf
677,41,4938,Berlin Hbf (tief)
920,1170,4939,Dortmund Hbf
987,48,4940,München Hbf
1173,165,4941,München Hbf
1121,590,4942,Lübeck Hbf
1120,590,4943,Bremen Hbf
1173,590,4944,München Hbf
984,2187,4945,Hamburg-Altona
986,2187,4946,Hamburg-Altona
988,2294,4947,Hamburg-Altona
677,1330,4948,Berlin Hbf (tief)
920,1076,4949,Köln Hbf
1119,2295,4950,München Hbf
1175,1018,4951,Hamburg-Altona
479,2296,4952,Paris Est
479,2297,4953,Paris Est
479,2298,4954,Paris Est
474,2299,4955,Paris Est
475,1111,4956,Paris Est
478,258,4957,Paris Est
478,177,4958,Paris Est
475,259,4959,Paris Est
474,58,4960,Paris Est
1176,1845,4961,Berlin Gesundbrunnen
1177,33,4962,Berlin Hbf (tief)
840,2300,4963,Köln Hbf
843,2301,4964,Köln Hbf
1099,1730,4965,Berlin Ostbahnhof
715,2302,4966,Kiel Hbf
1099,1740,4967,Berlin Hbf (tief)
715,2303,4968,Kiel Hbf
1099,1751,4969,Berlin Hbf (tief)
715,1526,4970,Kiel Hbf
715,2304,4971,Kiel Hbf
715,2305,4972,Kiel Hbf
840,900,4973,Köln Hbf
843,364,4974,Köln Hbf
1099,1691,4975,Berlin Ostbahnhof
1099,1773,4976,Berlin Ostbahnhof
715,60,4977,Kiel Hbf
1141,2306,4978,Zürich HB
1141,2307,4979,Chur
737,26,4980,Frankfurt(Main)Hbf
995,26,4981,München Hbf
909,26,4982,Köln Hbf
737,1891,4983,Frankfurt(Main)Hbf
1085,1967,4984,Stuttgart Hbf
995,760,4985,München Hbf
909,2308,4986,Köln Hbf
995,2309,4987,München Hbf
995,2310,4988,München Hbf
737,132,4989,Frankfurt(Main)Hbf
1141,2311,4990,Zürich HB
1085,1004,4991,Stuttgart Hbf
995,324,4992,München Hbf
845,2002,4993,Karlsruhe Hbf
909,582,4994,Köln Hbf
845,148,4995,Freiburg(Breisgau) Hbf
737,2312,4996,Nürnberg Hbf
995,164,4997,München Hbf
995,2187,4998,München Hbf
737,1074,4999,Frankfurt(Main)Hbf
737,2313,5000,Nürnberg Hbf
1085,1334,5001,Stuttgart Hbf
1141,55,5002,Zürich HB
845,55,5003,Karlsruhe Hbf
845,2314,5004,Karlsruhe Hbf
845,2315,5005,Karlsruhe Hbf
921,1731,5006,Zürich HB
922,1731,5007,München Hbf
923,1731,5008,München Hbf
921,1741,5009,Zürich HB
921,842,5010,Zürich HB
922,842,5011,München Hbf
923,842,5012,München Hbf
922,2316,5013,Innsbruck Hbf
923,2316,5014,Innsbruck Hbf
921,1504,5015,Zürich HB
